dfk_flurst,inj_well_id,inj_x_coord,inj_y_coord,ex_well_id,ex_x_coord,ex_y_coord,gwm,kf,fa,d_vel,st_distance,max_potential_pump,max_demand_pump,buildings_per_plot,plume_length,plume_width
8662/1597/41,13935,680010.427982806,5336161.64319214,32877,680017.455051877,5336138.27696935,8.8,0.00348518,5.3,4.21e-05,24.4000013738035,14.4635400143468,0.488082792760541,2,18.9993652428915,7.15979755194352
8662/1658/0,53348,680290.39567154,5336002.33659905,72290,680273.705034922,5335992.74811573,8.5,0.00299969,6.7,3.856e-05,19.2488016023444,10.094379541095,0.972039350835322,1,64.1708573745732,13.3086408710069
8662/1656/7,53313,680333.167445174,5336080.17010983,72255,680327.910483025,5336051.94352177,8.6,0.00299678,6.9,4.094e-05,28.7119474101275,16.1744276671157,1.45132350079555,1,105.153299709331,17.1150470865474
8662/1597/39,3965,680020.66171479,5336209.00800788,22907,679997.280543535,5336183.00875393,8.8,0.00344102,5.2,4.061e-05,34.9662748303008,19.9933243256879,0.224911722752586,1,6.27322181353214,4.07178526548949
8662/1671/0,53102,680304.736513418,5335809.25410764,72044,680275.057873999,5335782.82056812,8.1,0.00265686,7.6,3.354e-05,39.7435988467639,17.2756839569532,0.25766529176611,1,11.6053372407645,5.57008710709582
8662/1586/10,53126,680052.358974621,5336097.02281372,72068,680036.209968745,5336079.40725291,8.8,0.00347602,5.8,4.151e-05,23.8976646017242,13.9672481712554,0.348250815831344,1,11.6958315215518,5.59216710628488
8662/1583/7,288,680001.97294105,5336039.86661391,19230,679983.859340475,5336014.26047306,8.7,0.00354535,6.2,4.344e-05,31.3652191937257,18.9660712951142,0.646313592084328,1,28.099418228668,8.73908850585978
8662/1587/11,132421,680065.22753059,5336141.26995121,151363,680051.194862727,5336120.30984609,8.9,0.00345624,5.6,4.022e-05,25.2238334559452,14.4465167619572,0.567794500198886,1,25.1006322630882,8.25091954940779
8662/1662/4,122987,680334.44508115,5335946.15036011,141929,680313.661250151,5335930.58973847,8.4,0.00278853,7.0,3.593e-05,25.9634469349429,12.5377277541264,0.470375665274463,1,24.4460396400757,8.14061408637576
8662/1573/9,135108,680254.810021891,5335792.91864872,154050,680245.612246531,5335767.75947048,8.0,0.00284362,7.7,3.54e-05,26.7877457283422,12.1380633444264,0.387120658512331,1,20.0805519709282,7.36450160367977
8662/1587/4,55161,680088.706046044,5336025.47415355,74103,680085.490881119,5336013.49469492,8.7,0.00344533,6.4,4.217e-05,12.4034154332583,7.28088424118139,0.181657818814638,1,4.37766839125198,3.39002313608223
8662/1589/3,87159,680142.495347718,5336025.39069959,106101,680142.187133064,5336014.83741485,8.6,0.00337347,6.6,4.142e-05,10.5577845658991,6.01729528926088,0.615835801312649,1,28.5614714971853,8.81198751635175
8662/1594/3,54793,679996.747201034,5336149.66283877,73735,679973.70564018,5336119.21688968,8.8,0.00349612,5.3,4.248e-05,38.1820552441544,22.8373897913452,1.08866415572792,1,62.4433384327721,13.1249369502763
8662/1670/0,122414,680379.949739298,5335860.39025468,141356,680346.390390391,5335840.63702124,8.3,0.00250373,7.3,3.277e-05,38.9412394579862,16.9466666582674,0.983021079156722,1,86.3293445305213,15.4791223270543
8662/1589/4,90960,680136.589012192,5336039.98623652,109902,680134.926353432,5336029.11014127,8.7,0.00338645,6.4,4.129e-05,11.0024489121504,6.32373232891104,0.340495933373111,1,11.5949181979772,5.56753951536459
8662/1671/2,45357,680388.216438442,5335841.01117491,64299,680353.164800244,5335815.30352949,8.2,0.00243719,7.5,3.179e-05,43.4683836038207,18.1300020817228,0.502930496221161,1,33.6706409682655,9.58244503181778
8662/1666/5,19581,680357.520471709,5335904.68524225,38523,680314.357329375,5335881.49157319,8.3,0.00264002,7.0,3.438e-05,49.0000320500013,22.3717682329537,0.593659794550517,1,37.7030520187936,10.1507328847097
8662/1660/1,53365,680269.707245611,5335952.2380658,72307,680250.977665827,5335938.14712481,8.4,0.00298619,6.6,3.819e-05,23.4382545626367,12.030237297081,0.512044761137629,1,25.3375414527948,8.29049260653245
8662/1647/9,54968,680203.286009717,5336190.14066015,73910,680175.671735325,5336171.59819116,8.9,0.0033163,5.6,5.431e-05,33.2621602813115,25.7241032502631,1.51509809984089,1,69.7272302661217,13.8836160516092
8662/1586/0,125880,680085.102281173,5335971.98289715,144822,680083.038753867,5335947.57799227,8.6,0.0034495,6.6,4.301e-05,24.4919890397421,14.4947901727265,0.289379100238663,1,8.69450577822702,4.80822779265301
8662/1579/2,53918,680060.4217723,5335891.426894,72860,680030.024228231,5335857.90448181,8.4,0.00343401,7.3,4.352e-05,45.2522132551603,26.4684177524199,0.764004866945107,1,37.9610246818583,10.1860487230906
8662/1430/2,52862,679922.462361207,5336060.96278332,71804,679905.582607641,5336047.25865913,8.6,0.00354223,7.7,4.387e-05,21.7423342872253,13.1247861832847,0.827572781026253,1,40.8184178413205,10.569611866008
8662/1582/6,118122,680130.092830969,5335928.0019443,137064,680127.164311667,5335926.0813618,8.4,0.00331657,7.0,4.136e-05,3.50212256292785,1.94675428688423,1.06622731861575,1,67.5508755676893,13.661184150568
8662/1590/2,54928,680159.843449972,5336015.02553299,73870,680157.642044329,5336003.91035065,8.6,0.00332756,6.6,4.093e-05,11.3310840320364,6.381630267374,0.280146404534606,1,8.92099475148232,4.87162066895847
8662/1432/3,143667,679845.911600804,5336004.26126863,1195,679830.509904955,5335987.23856758,8.5,0.00355943,8.0,4.4e-05,22.9561448427363,13.7369570738934,1.15541888623707,2,68.2256666742703,13.7305216910418
8662/1756/0,67551,680409.651999896,5335967.55594027,86493,680406.17021651,5335964.17581205,8.5,0.00257664,7.3,3.351e-05,4.85263663539637,2.211521209669,0.497144495027844,1,28.9720962948082,8.87628839851796
8662/1589/2,40021,680148.410257655,5336010.76239263,58963,680127.521247304,5336002.04482357,8.6,0.00334777,6.6,4.126e-05,22.6350781713779,12.8507849568305,0.196483835322196,1,5.17719742134472,3.69239832844592
8662/1597/49,52936,680063.861227058,5336235.1144494,71878,680054.094302135,5336217.21466566,8.9,0.00340487,5.3,3.697e-05,20.3910539342456,10.7349274386346,0.661400991447892,1,35.8083306218379,9.88762956034382
8662/1666/3,53435,680301.775670652,5335868.95280455,72377,680283.449871835,5335861.76979761,8.2,0.00275307,7.0,3.523e-05,19.6832540738702,9.0979464582145,0.406301897374702,1,20.9570201269009,7.52650704846136
8662/1581/0,127888,680055.627697537,5335903.23017539,146830,680022.57641792,5335883.59461394,8.4,0.00346445,6.9,4.385e-05,38.4440158896818,22.6567501004886,3.57200351968974,2,379.437709295779,32.9032290905133
8662/1578/27,57067,680215.16646002,5335907.9579253,76009,680211.332973047,5335901.19070548,8.3,0.00309581,7.4,3.908e-05,7.77758872346764,4.03643166191817,1.24703893178202,2,94.7146252356778,16.2274911208724
8662/1578/17,52777,680174.168584182,5335910.67628405,71719,680175.219604397,5335886.60383049,8.4,0.00320402,6.8,4.024e-05,24.0953867727146,13.0314020085854,0.537237152147971,1,25.1761413620317,8.26355232899387
8662/1597/37,53427,680001.178985792,5336243.99120302,72369,679979.271127334,5336215.86070379,8.8,0.00338931,5.2,4.163e-05,35.6550031435602,20.8991943545991,0.448281239459029,1,17.0074114989518,6.76708084672458
8662/1578/18,45100,680156.759958211,5335903.50313708,64042,680164.549481284,5335882.29462065,8.4,0.00324335,6.9,4.073e-05,22.5937566340546,12.3680754315558,0.424421130469372,1,17.3600491597065,6.83818610245124
8662/1440/7,135341,679919.677474903,5335918.03531336,154283,679921.240459562,5335897.31095618,8.4,0.00361,7.1,4.434e-05,20.78321200745,12.3853312183149,0.399262605409706,1,13.9450954301959,6.11629340829914
8662/1589/11,53478,680098.164348233,5336155.99984552,72420,680084.122964859,5336132.8922735,8.9,0.00343271,5.9,3.905e-05,27.0392368954677,15.0357625389365,0.270608503381066,1,8.63259944494352,4.7907600020861
8662/1655/0,54931,680283.691429865,5336082.41079299,73873,680255.237490544,5336054.69617859,8.6,0.00311229,6.5,4.054e-05,39.7206056614226,22.1573613443536,1.2593031632856,1,86.25179583387,15.4720386258572
8662/1441/2,126741,679987.919301722,5335916.97680108,145683,679916.844844503,5335830.49449328,8.4,0.00357843,8.3,4.534e-05,111.94091311952,49.236334056,8.10912925835322,5,1234.42904010655,60.0043930767494
8662/1592/12,53252,680151.958970786,5336229.7968564,72194,680127.366903925,5336199.89274935,9.0,0.00335406,6.0,5.119e-05,38.7172490081602,28.5398780648792,1.33777779375497,1,62.169949373386,13.0956373570167
8662/1672/4,112353,680341.668483103,5335775.77532507,131295,680342.11172947,5335774.76087924,8.0,0.00250548,7.5,3.198e-05,1.10705360843033,0.453165752289305,0.216707968377088,1,9.79502727358596,5.10914830576286
8662/1654/0,53256,680263.567651829,5336133.71912305,72198,680238.050346332,5336117.35491828,8.7,0.00319649,6.4,4.538e-05,30.3136945556626,19.1488455883887,0.547446569809069,2,20.5155417745567,7.44532913871354
8662/1439/6,31300,679914.924817706,5335963.1158166,50242,679908.907183457,5335929.87010717,8.5,0.00361,7.3,4.422e-05,33.785930762366,20.3185884730408,0.589472891607001,1,24.6765964509183,8.1796287052068
8662/1429/1,130940,679834.572208859,5336052.24229879,149882,679746.383522283,5335967.52771144,8.5,0.00352035,7.9,4.454e-05,122.285754485959,49.5973310625,0.489790151551313,1,18.4887420372471,7.06113392666621
8662/1578/23,53436,680091.308550365,5335875.59829316,72378,680081.596394706,5335848.77639166,8.3,0.00336311,7.1,4.29e-05,28.526134820869,16.2516813210669,0.199385894192522,1,5.26483259890736,3.72410146075948
8662/1597/4,130388,679952.399089149,5336152.26881995,149330,679954.745514235,5336138.32440092,8.7,0.00350962,5.6,4.385e-05,14.1404573078543,8.6312220170558,0.782895289976134,1,36.9375633564366,10.0452355202517
8662/1435/8,114503,679915.58036618,5335971.50370834,133445,679907.808395732,5335966.68318782,8.5,0.00360914,7.2,4.421e-05,9.14554223121383,5.4988121397707,0.670857720962609,1,29.9697051991466,9.03066856899829
8662/1594/0,111871,679962.704506367,5336129.57032229,130813,679961.385110329,5336125.35973368,8.7,0.00351271,6.5,4.339e-05,4.41246669654333,2.66508046508517,1.5646743309467,2,106.027514519694,17.1873727447241
8662/1590/6,115295,680136.659153991,5336064.99553525,134237,680135.237793964,5336062.37754681,8.7,0.00340022,6.5,4.095e-05,2.97894743120622,1.69807153052589,0.27447494769292,1,8.49650518161034,4.75214158492038
8662/1644/16,7583,680095.046047435,5336241.59066115,26525,680103.859183473,5336216.63003028,9.0,0.00338716,5.5,3.41e-05,26.4708228123943,12.9982328337981,0.400362919053302,1,18.7211031471556,7.10619482350741
8662/1597/43,32703,680041.848295884,5336174.73988973,51645,680050.219935911,5336151.14266865,8.9,0.00345133,6.0,4.029e-05,25.0382347535295,14.3651764098486,0.187783962012729,1,4.76159917187299,3.53833060250319
8662/1662/2,125904,680250.965866256,5335918.76874241,144846,680249.235512584,5335902.40343715,8.4,0.00298573,7.4,3.808e-05,16.4565288016259,8.42237244933389,0.327373444709626,1,13.0090874106141,5.90363299722482
8662/1428/2,54786,679921.842508751,5336114.14630061,73728,679854.778142081,5336067.82511298,8.7,0.00351575,7.5,4.415e-05,81.5063292037104,50.0911817260659,3.0153212486078,3,276.357617283818,27.9974891526566
8662/1665/4,83652,680273.43570184,5335888.14223092,102594,680273.066616438,5335877.38844719,8.3,0.00288213,6.8,3.681e-05,10.760115639842,5.25994049701032,0.955869839498807,1,69.5309673083338,13.8636982759584
8662/1658/3,53068,680237.3535803,5335960.97274864,72010,680221.225380358,5335939.02535419,8.5,0.00306747,6.8,3.927e-05,27.2361332858352,14.5460561762326,0.987922312251392,1,63.9750227291705,13.2879388369783
8662/1589/5,98746,680133.825766691,5336047.68358203,117688,680114.424733442,5336039.15742159,8.7,0.00340066,6.5,4.136e-05,21.1918735141676,12.2008227685599,0.250797969769292,1,7.31109368315544,4.40201287253582
8662/1432/0,52764,679895.478677873,5336026.47319696,71706,679901.725904312,5336000.98446999,8.6,0.00356954,7.2,4.418e-05,26.2431522598279,15.9536531437073,0.711033943317423,1,32.1658664431459,9.36187736953913
8662/1570/3,83872,680263.086295972,5335768.17828471,102814,680266.219149619,5335758.33456879,8.0,0.00276964,7.5,3.421e-05,10.3302233820892,4.52348085633627,0.351483541169451,1,18.286849735687,7.02175560588744
8662/1569/9,52444,680228.93015146,5335737.18161562,71386,680222.732218537,5335724.00348236,7.9,0.00283145,7.5,3.419e-05,14.5628832548621,6.29351892803441,0.235110087907717,1,10.2038391958539,5.21666836324796
8662/1653/3,54892,680252.209821028,5336135.83973133,73834,680234.321097892,5336131.75269213,8.7,0.00321621,6.4,4.049e-05,18.3496677054115,10.3422543918582,0.418754263325378,1,16.2848707695739,6.61909239975218
8662/1592/2,53220,680209.029516388,5336039.62982291,72162,680190.156967106,5336018.92241392,8.6,0.00323744,6.6,4.018e-05,28.0173143535255,15.4901231043712,0.928562862967383,1,55.3478032446741,12.3428493891371
8662/1590/8,114222,680127.985291177,5336095.56126249,133164,680125.300435611,5336092.18153877,8.8,0.00342229,6.2,4.055e-05,4.31636211108072,2.46440104914887,0.631810229514718,1,29.6016338174922,8.97400731401252
